Modelo,MAE_Medio,Std_Dev_Medio
BayesianLinearRegressionModelo,0.09079567091418789,0.072629470538116
HoeffdingTreeRegressorModelo,0.1146236835374824,0.08942688520412483
KNNRegressorOnlineModelo,0.11985457336430558,0.09469190770956436
LinearRegressionOnlineModelo,0.1146236835374824,0.08942688520412483
